Installation Name,Stop ID,Site,Asset Installed (F),Product Name,Council District,Project Type,Project Planning,Installation Status,Site Design Status,Site Design,Install Completed (A),Shelter Size,Power Source,Power AP ID
52nd St & Walnut St - Shelter 2015 - Legacy,21743,52nd St & Walnut St - Shelter 2015,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,52nd St & Walnut St - Shelter 2015 - Legacy,01/01/2001,,,
54th St & Berks St - Shelter 2008,21763,54th St & Berks St - Shelter 2008,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,54th St & Berks St - Shelter 2008,01/01/2001,,,
54th St & Berks St - Shelter 2009 - Legacy,21688,54th St & Berks St - Shelter 2009,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,54th St & Berks St - Shelter 2009 - Legacy,01/01/2001,,,
54th St & City Av - MBFS Legacy,30138,54th St & City Av - MBFS,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,54th St & City Av - MBFS Legacy,01/01/2001,,,
54th St & Montgomery Av - Shelter 2006,21762,54th St & Montgomery Av - Shelter 2006,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,54th St & Montgomery Av - Shelter 2006,01/01/2001,,,
54th St & Montgomery Av - Shelter 2007 - Legacy,22217,54th St & Montgomery Av - Shelter 2007,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,54th St & Montgomery Av - Shelter 2007 - Legacy,01/01/2001,,,
54th St & Upland Way - Shelter 564 - Legacy,21689,54th St & Upland Way - Shelter 564,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,54th St & Upland Way - Shelter 564 - Legacy,01/01/2001,,,
5th St & Roosevelt Blvd - Shelter 2040,22162,5th St & Roosevelt Blvd - Shelter 2040,,Static Bus Shelter,7,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,5th St & Roosevelt Blvd - Shelter 2040,01/01/2001,,,
60th St & Lansdowne Av - Shelter 271,21870,60th St & Lansdowne Av - Shelter 271,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,60th St & Lansdowne Av - Shelter 271,01/01/2001,,,
65th St & Woodland Av - Shelter 255,1143,65th St & Woodland Av - Shelter 255,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,65th St & Woodland Av - Shelter 255,01/01/2001,,,
7th St & Chestnut St - Shelter 556 - Legacy,18516,7th St & Chestnut St - Shelter 556,,Static Bus Shelter,1,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,7th St & Chestnut St - Shelter 556 - Legacy,01/01/2001,,,
84th St & Crane St - Shelter 843,15054,84th St & Crane St - Shelter 843,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,84th St & Crane St - Shelter 843,01/01/2001,,,
84th St & Lindbergh Blvd - Shelter 841 - Legacy,19555,84th St & Lindbergh Blvd - Shelter 841,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,84th St & Lindbergh Blvd - Shelter 841 - Legacy,01/01/2001,,,
8th St & Arch St - Shelter 216 - Legacy,16289,8th St & Arch St - Shelter 216,,Static Bus Shelter,1,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,8th St & Arch St - Shelter 216 - Legacy,01/01/2001,,,
8th St & Market St - Shelter 571 - Legacy,728,8th St & Market St - Shelter 571,,Static Bus Shelter,1,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,8th St & Market St - Shelter 571 - Legacy,01/01/2001,,,
9th St & Chestnut St - Shelter 314,24989,9th St & Chestnut St - Shelter 314,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,9th St & Chestnut St - Shelter 314,01/01/2001,,,
Academy Rd & Avalon St - Shelter 184,23396,Academy Rd & Avalon St - Shelter 184,,Static Bus Shelter,10,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Academy Rd & Avalon St - Shelter 184,01/01/2001,,,
Academy Rd & Grant Av - FS - Shelter 101,415,Academy Rd & Grant Av - FS - Shelter 101,,Static Bus Shelter,6,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Academy Rd & Grant Av - FS - Shelter 101,01/01/2001,,,
Academy Rd & Red Lion Rd - 2 - Shelter 131,26119,Academy Rd & Red Lion Rd - 2 - Shelter 131,,Static Bus Shelter,10,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Academy Rd & Red Lion Rd - 2 - Shelter 131,01/01/2001,,,
Allegheny Av & Aramingo Av - Shelter 507 - Legacy,4356,Allegheny Av & Aramingo Av - Shelter 507,,Static Bus Shelter,1,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Allegheny Av & Aramingo Av - Shelter 507 - Legacy,01/01/2001,,,
Arch St & 19th St - Shelter 258 - Legacy,4464,Arch St & 19th St - Shelter 258,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Arch St & 19th St - Shelter 258 - Legacy,01/01/2001,,,
Arch St & 7th St - Shelter 259 - Legacy,4471,Arch St & 7th St - Shelter 259,,Static Bus Shelter,1,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Arch St & 7th St - Shelter 259 - Legacy,01/01/2001,,,
Arch St & 8th St - Shelter 2004,4472,Arch St & 8th St - Shelter 2004,,Static Bus Shelter,1,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Arch St & 8th St - Shelter 2004,01/01/2001,,,
Baltimore Av & 58th St - Shelter 306,20861,Baltimore Av & 58th St - Shelter 306,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Baltimore Av & 58th St - Shelter 306,01/01/2001,,,
Bartram Av & 84th St - MBFS - Shelter 737 - Legacy,990,Bartram Av & 84th St - MBFS - Shelter 737,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Bartram Av & 84th St - MBFS - Shelter 737 - Legacy,01/01/2001,,,
Bartram Av & 84th St - MBNS - Shelter 736 - Legacy,30159,Bartram Av & 84th St - MBNS - Shelter 736,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Bartram Av & 84th St - MBNS - Shelter 736 - Legacy,01/01/2001,,,
Bartram Av & 90th St - FS - Shelter 466,19675,Bartram Av & 90th St - FS - Shelter 466,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Bartram Av & 90th St - FS - Shelter 466,01/01/2001,,,
Bartram Av & 90th St - Shelter 467,19549,Bartram Av & 90th St - Shelter 467,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Bartram Av & 90th St - Shelter 467,01/01/2001,,,
Belmont Av & Conshohocken Av - Shelter 439 - Legacy,21574,Belmont Av & Conshohocken Av - Shelter 439,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Belmont Av & Conshohocken Av - Shelter 439 - Legacy,01/01/2001,,,
Broad St & 66th Av - Shelter 75 - Legacy,15574,Broad St & 66th Av - Shelter 75,,Static Bus Shelter,9,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Broad St & 66th Av - Shelter 75 - Legacy,01/01/2001,,,
Broad St & Berks St - Shelter 218,17160,Broad St & Berks St - Shelter 218,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Broad St & Berks St - Shelter 218,01/01/2001,,,
Broad St & Callowhill St - FS - Shelter 236 - Legacy,17264,Broad St & Callowhill St - FS - Shelter 236,,Static Bus Shelter,1,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Broad St & Callowhill St - FS - Shelter 236 - Legacy,01/01/2001,,,
Broad St & Callowhill St NW Legacy,17169,Broad St & Callowhill St NW,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Broad St & Callowhill St NW Legacy,01/01/2001,,,
Broad St & Christian St - Shelter 209 - Legacy,5166,Broad St & Christian St - Shelter 209,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Broad St & Christian St - Shelter 209 - Legacy,01/01/2001,,,
