Installation Name,Stop ID,Site,Asset Installed (F),Product Name,Council District,Project Type,Project Planning,Installation Status,Site Design Status,Site Design,Install Completed (A),Shelter Size,Power Source,Power AP ID
American St & Lehigh Av - FS SW,16318,American St & Lehigh Av - FS SW,,Static Bus Shelter,7,New Design & Install,Philly Bus Shelter - Static - FY5,Pending Placement Approval,Pending Placement Approval,American St & Lehigh Av - FS SW,,,,no as built
American St & Lehigh Av SE,18596,American St & Lehigh Av SE,,Static Bus Shelter,7,New Design & Install,Philly Bus Shelter - Static - FY5,Pending Placement Approval,Pending Placement Approval,American St & Lehigh Av SE,,,,no as built
Arch St & 19th St - Shelter 258,4464,Arch St & 19th St - Shelter 258,,Static Bus Shelter,5,Conversion D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Arch St & 19th St - Shelter 258,,,,
Arch St & 7th St - Shelter 259,4471,Arch St & 7th St - Shelter 259,,Static Bus Shelter,1,Conversion D&I,Philly Static Bus Shelter - Alternative FY5,PreCx,Ready for Engineering,Arch St & 7th St - Shelter 259,,Small,City Lighting,
Art Museum Dr & Back Entrance - 2,21214,Art Museum Dr & Back Entrance - 2,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Art Museum Dr & Back Entrance - 2,,,,
Bartram Av & 84th St - MBFS - Shelter 737,990,Bartram Av & 84th St - MBFS - Shelter 737,,Static Bus Shelter,2,Conversion D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Temporarily Suspended,Bartram Av & 84th St - MBFS - Shelter 737,,,,
Bartram Av & 84th St - MBNS - Shelter 736,30159,Bartram Av & 84th St - MBNS - Shelter 736,,Static Bus Shelter,2,Conversion D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Temporarily Suspended,Bartram Av & 84th St - MBNS - Shelter 736,,Narrow,,
Berks St & Front St - FS NW,31367,Berks St & Front St - FS NW,,Static Bus Shelter,7,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Berks St & Front St - FS NW,,,,
Bridge St & Eadom St - FS NE,22721,Bridge St & Eadom St - FS NE,,Static Bus Shelter,6,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Bridge St & Eadom St - FS NE,,,,
Bridge St & Torresdale NE,1246,Bridge St & Torresdale NE,,Static Bus Shelter,7,New Design & Install,Philly Static Bus Shelter - Alternative FY5,Pending Placement Approval,Pending Placement Approval,Bridge St & Torresdale NE,,,,
Broad St & Callowhill St - FS - Shelter 236,17264,Broad St & Callowhill St - FS - Shelter 236,,Static Bus Shelter,1,Conversion D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Broad St & Callowhill St - FS - Shelter 236,,,,
Broad St & Callowhill St NW,17169,Broad St & Callowhill St NW,,Static Bus Shelter,5,Refresh D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Broad St & Callowhill St NW,,,,
Broad St & Christian St - Shelter 209,5166,Broad St & Christian St - Shelter 209,,Static Bus Shelter,2,Conversion D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Broad St & Christian St - Shelter 209,,,,
Broad St & Christian St - Shelter 546,15195,Broad St & Christian St - Shelter 546,,Static Bus Shelter,2,Conversion D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Broad St & Christian St - Shelter 546,,,,
Broad St & Glenwood Av NW,17129,Broad St & Glenwood Av NW,,Static Bus Shelter,8,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Broad St & Glenwood Av NW,,,,
Broad St & Lehigh Av - FS SW,17133,Broad St & Lehigh Av - FS SW,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Broad St & Lehigh Av - FS SW,,,,
Broad St & Oxford St - FS SW,5273,Broad St & Oxford St - FS SW,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Broad St & Oxford St - FS SW,,,,
Broad St & Oxford St SE,17276,Broad St & Oxford St SE,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Broad St & Oxford St SE,,,,
Broad St & Pine St - Shelter AA07,15189,Broad St & Pine St - Shelter AA07,,Static Bus Shelter,2,Conversion D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Broad St & Pine St - Shelter AA07,,,,
Broad St & S Penn Square - Shelter 1,20414,Broad St & S Penn Square - Shelter 1,,Static Bus Shelter,5,Conversion D&I,Philly Bus Shelter - Static - FY5,PreCx,Ready for Engineering,Broad St & S Penn Square - Shelter 1,,High Rider,PECO MH,
Broad St & Spruce St - Shelter AA05,5318,Broad St & Spruce St - Shelter AA05,,Static Bus Shelter,2,Conversion D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Temporarily Suspended,Broad St & Spruce St - Shelter AA05,,,,
Broad St & Stenton Av NW,15588,Broad St & Stenton Av NW,,Static Bus Shelter,8,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Broad St & Stenton Av NW,,,,
Broad St & Tioga St - Shelter 199,17299,Broad St & Tioga St - Shelter 199,,Static Bus Shelter,5,Conversion D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Broad St & Tioga St - Shelter 199,,,,
Bustleton Av & Deveraux Av NW,1129,Bustleton Av & Deveraux Av NW,,Static Bus Shelter,7,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Bustleton Av & Deveraux Av NW,,,,
Bustleton Av & Devereux Av SE,1107,Bustleton Av & Devereux Av SE,,Static Bus Shelter,7,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Bustleton Av & Devereux Av SE,,,,
Bustleton Av & Rhawn St,23107,Bustleton Av & Rhawn St - Shelter 40,,Static Bus Shelter,10,Refresh D&I,Philly Bus Shelter - Static - FY6,Not Yet Started,Not Yet Started,Bustleton Av & Rhawn St,,,,
Cecil B Moore Av & 8th St - FS NW,25470,Cecil B Moore Av & 8th St - FS NW,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelter - Alternative FY5,Ready for Engineering,Temporarily Suspended,Cecil B Moore Av & 8th St - FS NW,,Small,City Lighting,
Chelten Av & Germantown Av NE,31000,Chelten Av & Germantown Av NE,,Static Bus Shelter,8,New Design & Install,Philly Bus Shelter - Static - FY5,Pending Placement Approval,Pending Placement Approval,Chelten Av & Germantown Av NE,,,,no as built
Chelten Av & Wayne Av SW,21953,Chelten Av & Wayne Av SW,,Static Bus Shelter,8,New Design & Install,Philly Bus Shelter - Static - FY5,Pending Placement Approval,Pending Placement Approval,Chelten Av & Wayne Av SW,,,,no as built
Cheltenham Av & 19th St NW,16913,Cheltenham Av & 19th St NW,,Static Bus Shelter,9,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Cheltenham Av & 19th St NW,,,,
Cheltenham Av & Andrews Av SW,16912,Cheltenham Av & Andrews Av SW,,Static Bus Shelter,9,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Cheltenham Av & Andrews Av SW,,,,
Cheltenham Av & Washington Ln SW,16908,Cheltenham Av & Washington Ln SW,,Static Bus Shelter,9,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Cheltenham Av & Washington Ln SW,,,,
Cheltenham Av & Williams Way SW,16910,Cheltenham Av & Williams Way SW,,Static Bus Shelter,9,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Cheltenham Av & Williams Way SW,,,,
Chestnut St & 11th St SW,6057,Chestnut St & 11th St SW,,Static Bus Shelter,1,Conversion D&I,Philly Static Bus Shelter - Future Sites,Abandoned,Completed,Chestnut St & 11th St SW,,Small,City Lighting,
Chestnut St & 20th St - Shelter CH20,6064,Chestnut St & 20th St - Shelter CH20,,Static Bus Shelter,2,Conversion D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Chestnut St & 20th St - Shelter CH20,,Narrow,,
Chestnut St & 40th St - Shelter 638,421,Chestnut St & 40th St - Shelter 638,,Static Bus Shelter,3,Conversion D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Temporarily Suspended,Chestnut St & 40th St - Shelter 638,,,,
Chestnut St & 57th St SW,19078,Chestnut St & 57th St SW,,Static Bus Shelter,3,New Design & Install,Philly Bus Shelter - Static - FY5,Pending Placement Approval,Pending Placement Approval,Chestnut St & 57th St SW,,,,no as built
Chew Av & Chelten Av - FS NE,223,Chew Av & Chelten Av - FS NE,,Static Bus Shelter,8,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Chew Av & Chelten Av - FS NE,,,,
Chew Av & Chelten Av NW,371,Chew Av & Chelten Av NW,,Static Bus Shelter,8,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Chew Av & Chelten Av NW,,,,
Chew Av & Church Ln SE,15919,Chew Av & Church Ln,,Static Bus Shelter,8,New Design & Install,Philly Bus Shelter - Static - FY5,Pending Placement Approval,Pending Placement Approval,Chew Av & Church Ln SE,,,,no as built
City Av & 54th St SE,20591,City Av & 54th St SE,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelter - Alternative FY5,Ready for Engineering,Temporarily Suspended,City Av & 54th St SE,,Narrow,Solar,
City Av & Monument Rd SE,20550,City Av & Monument Rd SE,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelter - Alternative FY5,Ready for Engineering,Temporarily Suspended,City Av & Monument Rd SE,,Narrow,City Lighting,
City Av & Presidential Blvd - Shelter 260,699,City Av & Presidential Blvd - Shelter 260,,Static Bus Shelter,4,Conversion D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,City Av & Presidential Blvd - Shelter 260,,Narrow,,
City Av & Presidential Blvd SE,699,City Av & Presidential Blvd - Shelter 260,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,City Av & Presidential Blvd SE,,,,
Civic Center Blvd & Convention Av - FS SW,21438,Civic Center Blvd & Convention Av - FS SW,,Static Bus Shelter,3,Conversion D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Temporarily Suspended,Civic Center Blvd & Convention Av - FS SW,,Narrow,,
Conshohocken Av & W Country Club NW,22307,Conshohocken Av & W Country Club - Shelter 116,,Static Bus Shelter,4,Refresh D&I,Philly Bus Shelter - Static - FY6,Not Yet Started,Not Yet Started,Conshohocken Av & W Country Club NW,,,,
COP-Arch & 17th-PBS1 - Removal,4463,COP-Arch & 17th-PBS1,,IxNSight Single Bus Shelter,5,Removal D&I,Philly Digital Bus Shelter - OpEx_20,Removed,Completed,COP-Arch & 17th-PBS1 - Removal,,,,
COP-Market St & 9th St NE-PN60,10341,COP-Market St & 9th St NE-PN60,,IxNSight Single Bus Shelter,1,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,COP-Market St & 9th St NE-PN60,,,,
Cottman Av & Algon Av SW,6423,Cottman Av & Algon Av SW,,Static Bus Shelter,9,New Design & Install,Philly Static Bus Shelter - Alternative FY5,Pending Placement Approval,Pending Placement Approval,Cottman Av & Algon Av SW,,,,
Cottman Av & Hanford St - FS NW,6447,Cottman Av & Hanford St - FS - Shelter 226,,Static Bus Shelter,10,Refresh D&I,Philly Bus Shelter - Static - FY6,Not Yet Started,Not Yet Started,Cottman Av & Hanford St - FS NW,,,,
Cottman Av & Roosevelt Blvd NE,1023,Cottman Av & Roosevelt Blvd NE,,Static Bus Shelter,6,New Design & Install,Philly Bus Shelter - Static - FY5,Pending Placement Approval,Pending Placement Approval,Cottman Av & Roosevelt Blvd NE,,,,no as built
Cottman Av & Roosevelt Blvd SW,1013,Cottman Av & Roosevelt Blvd SW,,Static Bus Shelter,6,New Design & Install,Philly Bus Shelter - Static - FY5,Pending Placement Approval,Pending Placement Approval,Cottman Av & Roosevelt Blvd SW,,,,no as built
Cottman Av & Rowland Av - FS NW,22453,Cottman Av & Rowland Av - FS NW,,Static Bus Shelter,6,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Cottman Av & Rowland Av - FS NW,,,,
Cottman Av & Whitaker Av NW,21268,Cottman Av & Whitaker Av NW,,Static Bus Shelter,9,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Cottman Av & Whitaker Av NW,,,,
Cottman Av & Whitaker Av NW - FY5,21268,Cottman Av & Whitaker Av NW,,Static Bus Shelter,9,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Cottman Av & Whitaker Av NW - FY5,,,,
Erie Av & 5th St SW,18195,Erie Av & 5th St SW,,Static Bus Shelter,7,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Erie Av & 5th St SW,,,,
Erie Av & 6th St NE,18150,Erie Av & 6th St NE,,Static Bus Shelter,7,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Erie Av & 6th St NE,,,,
Erie Ave & St Chris Dr FS,18197,Erie Ave & St Chris Dr FS,,Static Bus Shelter,7,Refresh D&I,Philly Bus Shelter - Static - FY6,Ready for Cx,Ready for Engineering,Erie Ave & St Chris Dr FS,,Standard,PECO Wood Pole,
Frankford Av & Ashburner St NW,21928,Frankford Av & Ashburner St NW,,Static Bus Shelter,6,New Design & Install,Philly Bus Shelter - Static - FY5,Pending Placement Approval,Pending Placement Approval,Frankford Av & Ashburner St NW,,,,no as built
Frankford Av & Cottman Av - FS SW,26163,Frankford Av & Cottman Av - FS SW,,Static Bus Shelter,6,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Temporarily Suspended,Frankford Av & Cottman Av - FS SW,,,,
Frankford Av & Cottman Av - FS SW - FY5,26163,Frankford Av & Cottman Av - FS SW,,Static Bus Shelter,6,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Frankford Av & Cottman Av - FS SW - FY5,,,,
Frankford Av & Cottman Av - Shelter 64,961,Frankford Av & Cottman Av - Shelter 64,,Static Bus Shelter,6,New Design & Install,Philly Static Bus Shelter - Future Sites,Ready for Engineering,Temporarily Suspended,Frankford Av & Cottman Av - Shelter 64,,Standard,,
Frankford Av & Cottman SE,961,Frankford Av & Cottman Av - Shelter 64,,Static Bus Shelter,6,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Frankford Av & Cottman SE,,,,
Frankford Av & Megargee St - FS SW,21923,Frankford Av & Megargee St - FS SW,,Static Bus Shelter,6,New Design & Install,Philly Bus Shelter - Static - FY5,Pending Placement Approval,Pending Placement Approval,Frankford Av & Megargee St - FS SW,,,,no as built
Frankford Av & Rhawn St - FS SE,964,Frankford Av & Rhawn St - FS SE,,Static Bus Shelter,6,Refresh D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Frankford Av & Rhawn St - FS SE,,Narrow,,
Frankford Av & Sheffield Av - NW,21934,Frankford Av & Sheffield Av - NW,,Static Bus Shelter,6,New Design & Install,Philly Bus Shelter - Static - FY5,Pending Placement Approval,Pending Placement Approval,Frankford Av & Sheffield Av - NW,,Standard,Solar,
Frankford Av & Sheffield Av SE,21833,Frankford Av & Sheffield Av SE,,Static Bus Shelter,6,New Design & Install,Philly Static Bus Shelter - Alternative FY5,Ready for Engineering,Temporarily Suspended,Frankford Av & Sheffield Av SE,,Small,Solar,
Frankford Av & Tolbut St NW,21920,Frankford Av & Tolbut St NW,,Static Bus Shelter,6,New Design & Install,Philly Bus Shelter - Static - FY5,Pending Placement Approval,Pending Placement Approval,Frankford Av & Tolbut St NW,,,,no as built
Front St & Allegheny Av SE,17653,Front St & Allegheny Av SE,,Static Bus Shelter,7,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Front St & Allegheny Av SE,,,,
Front St & Erie Av SE,861,Front St & Erie Av SE,,Static Bus Shelter,7,New Design & Install,Philly Bus Shelter - Static - FY5,Pending Placement Approval,Pending Placement Approval,Front St & Erie Av SE,,,,no as built
Front St & Lehigh Av - FS NE,31728,Front St & Lehigh Av - FS NE,,Static Bus Shelter,7,New Design & Install,Philly Static Bus Shelter - Alternative FY5,Not Yet Started,Not Yet Started,Front St & Lehigh Av - FS NE,,Narrow,,
Germantown Av &  Haines St,15652,Germantown Av &  Haines St - Shelter 487,,Static Bus Shelter,8,Refresh D&I,Philly Bus Shelter - Static - FY6,Not Yet Started,Not Yet Started,Germantown Av &  Haines St,,,,
Germantown Av & Hunting Park Av SE,16888,Germantown Av & Hunting Park Av SE,,Static Bus Shelter,8,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Germantown Av & Hunting Park Av SE,,,,
Germantown Av & Lehigh Av SE,1186,Germantown Av & Lehigh Av SE,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Germantown Av & Lehigh Av SE,,Narrow,,
Germantown Av & Tioga St NW,16080,Germantown Av & Tioga St NW,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Germantown Av & Tioga St NW,,,,
Germantown Av & Windrim Av NW,15711,Germantown Av & Windrim Av NW,,Static Bus Shelter,8,New Design & Install,Philly Bus Shelter - Static - FY5,PreCx,Ready for Engineering,Germantown Av & Windrim Av NW,,Small,Solar,
Grays Ferry Av & 29th St SW,25043,Grays Ferry Av & 29th St SW,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelter - Future Sites,Ready for Engineering,Temporarily Suspended,Grays Ferry Av & 29th St SW,,Narrow,City Lighting,
Grays Ferry Av & 29th St SW - FY5,25043,Grays Ferry Av & 29th St SW,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Grays Ferry Av & 29th St SW - FY5,,,,
Greene St & Chelten Av - FS NW,1348,Greene St and Chelten Ave FS NW,,Static Bus Shelter,8,New Design & Install,Philly Bus Shelter - Static - FY6,Not Yet Started,Not Yet Started,Greene St & Chelten Av - FS NW,,,,
Greene St and Chelten Ave FS NW,1348,Greene St and Chelten Ave FS NW,,Static Bus Shelter,8,Conversion D&I,Philly Static Bus Shelter - Future Sites,Ready for Engineering,Temporarily Suspended,Greene St and Chelten Ave FS NW,,High Rider,,
Haverford Av & Overbrook Av - Shelter 2016,30349,Haverford Av & Overbrook Av - Shelter 2016,,Static Bus Shelter,4,Conversion D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Temporarily Suspended,Haverford Av & Overbrook Av - Shelter 2016,,,,
Haverford Av & Woodbine Av,19532,Haverford Av & Woodbine Av - Shelter 2017,,Static Bus Shelter,4,Refresh D&I,Philly Bus Shelter - Static - FY6,Not Yet Started,Not Yet Started,Haverford Av & Woodbine Av,,,Solar,
Henry Av & Indian Queen Ln - MBFS - Conversion,19703,Henry Av & Indian Queen Ln - MBFS,,Static Bus Shelter,4,Conversion D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Henry Av & Indian Queen Ln - MBFS - Conversion,,Narrow,,
Hunting Park Av & Broad St SE,15231,Hunting Park Av & Broad St SE,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Temporarily Suspended,Hunting Park Av & Broad St SE,,,,
Hunting Park Av & L St SW,17904,Hunting Park Av & L St - Shelter 192,,Static Bus Shelter,7,Refresh D&I,Philly Bus Shelter - Static - FY6,Not Yet Started,Not Yet Started,Hunting Park Av & L St SW,,,,
Hunting Park Av & Stokely St - Shelter 248,22400,Hunting Park Av & Stokely St - Shelter 248,,Static Bus Shelter,8,Conversion D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Temporarily Suspended,Hunting Park Av & Stokely St - Shelter 248,,,,
Jefferson St & 52nd St - FS NW,21758,Jefferson St & 52nd St - FS NW,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Jefferson St & 52nd St - FS NW,,,,
Lehigh Av & 20th St - FS NE,20527,Lehigh Av & 20th St - FS - Shelter 505,,Static Bus Shelter,8,Refresh D&I,Philly Bus Shelter - Static - FY6,Not Yet Started,Not Yet Started,Lehigh Av & 20th St - FS NE,,,,
Lehigh Av & 29th St SW,20538,Lehigh Av & 29th St SW,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Lehigh Av & 29th St SW,,,,
Lehigh Av & 2nd St SW,17647,Lehigh Av & 2nd St SW,,Static Bus Shelter,7,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Lehigh Av & 2nd St SW,,,,
Lehigh Av & American St NE,30806,Lehigh Av & American St NE,,Static Bus Shelter,7,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Lehigh Av & American St NE,,,,
Lehigh Av & Broad St NE,20547,Lehigh Av & Broad St NE,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Lehigh Av & Broad St NE,,High Rider,,
Lehigh Av & Germantown Av NE,20519,Lehigh Av & Germantown Av - Shelter 229,,Static Bus Shelter,5,Refresh D&I,Philly Bus Shelter - Static - FY6,Not Yet Started,Not Yet Started,Lehigh Av & Germantown Av NE,,,,
Lindbergh Blvd & 70th St NE,24944,Lindbergh Blvd & 70th St - Shelter 217,,Static Bus Shelter,2,Refresh D&I,Philly Bus Shelter - Static - FY6,Not Yet Started,Not Yet Started,Lindbergh Blvd & 70th St NE,,,,
Lindbergh Blvd & 78th St - Shelter 220,24947,Lindbergh Blvd & 78th St - Shelter 220,,Static Bus Shelter,2,Conversion D&I,Philly Static Bus Shelter - Alternative FY5,Ready for Engineering,Temporarily Suspended,Lindbergh Blvd & 78th St - Shelter 220,,Standard,Solar,
Lindbergh Blvd & 80th St - Shelter 219,19559,Lindbergh Blvd & 80th St - Shelter 219,,Static Bus Shelter,2,Conversion D&I,Philly Static Bus Shelter - Alternative FY5,Ready for Engineering,Temporarily Suspended,Lindbergh Blvd & 80th St - Shelter 219,,Small,City Lighting,
Lindley Av & Broad St NE,208,Lindley Av & Broad St NE,,Static Bus Shelter,9,New Design & Install,Philly Static Bus Shelter - Alternative FY5,Ready for Engineering,Temporarily Suspended,Lindley Av & Broad St NE,,Standard,PECO MH,
Lombard St & 12th St - Shelter 66,22267,Lombard St & 12th St - Shelter 66,,Static Bus Shelter,1,Conversion D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Lombard St & 12th St - Shelter 66,,Narrow,,
Lombard St & 17th St - Shelter 103,22271,Lombard St & 17th St - Shelter 103,,Static Bus Shelter,2,Conversion D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Lombard St & 17th St - Shelter 103,,Narrow,,
Lombard St & 8th St - Shelter 15,22263,Lombard St & 8th St - Shelter 15,,Static Bus Shelter,1,Conversion D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Lombard St & 8th St - Shelter 15,,Narrow,,
Lombard St & Broad St NE,663,Lombard St & Broad St NE,,Static Bus Shelter,1,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Lombard St & Broad St NE,,Narrow,,
Market St & 10th St - MBFS,17833,Market St & 10th St - MBFS,,Static Bus Shelter,1,Refresh D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Temporarily Suspended,Market St & 10th St - MBFS,,,,
Morris St & 22nd St SW,24188,Morris St & 22nd St SW,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Morris St & 22nd St SW,,Small,PECO Wood Pole,
Ogontz Av & 66th Av NW,79,Ogontz Av & 66th Av NW,,Static Bus Shelter,9,New Design & Install,Philly Bus Shelter - Static - FY5,Pending Placement Approval,Pending Placement Approval,Ogontz Av & 66th Av NW,,,,no as built
Old York Rd & Medary Av - Shelter 2001,17573,Old York Rd & Medary Av - Shelter 2001,,Static Bus Shelter,8,Conversion D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Old York Rd & Medary Av - Shelter 2001,,,,
Old York Rd & Stenton Av - Shelter 198,21221,Old York Rd & Stenton Av - Shelter 198,,Static Bus Shelter,8,Conversion D&I,Philly Bus Shelter - Static - FY5,Ready for PreCx,Ready for Engineering,Old York Rd & Stenton Av - Shelter 198,,,,no as built
Olney Av & 18th St - MBNS - Shelter 122,15791,Olney Av & 18th St - MBNS - Shelter 122,,Static Bus Shelter,8,Conversion D&I,Philly Static Bus Shelter - Future Sites,Abandoned,Completed,Olney Av & 18th St - MBNS - Shelter 122,,Small,PECO Wood Pole,
Olney Av & 5th St NE,16962,Olney Av & 5th St NE,,Static Bus Shelter,9,New Design & Install,Philly Bus Shelter - Static - FY5,Pending Placement Approval,Pending Placement Approval,Olney Av & 5th St NE,,,,no as built
Olney Av & 5th St SW,15817,Olney Av & 5th St SW,,Static Bus Shelter,9,New Design & Install,Philly Bus Shelter - Static - FY5,Pending Placement Approval,Pending Placement Approval,Olney Av & 5th St SW,,,,no as built
Oregon Av & 24th St SE,105,Oregon Av & 24th St SE,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Temporarily Suspended,Oregon Av & 24th St SE,,,,
Oregon Av & Broad St SE,103,Oregon Av & Broad St SE,,Static Bus Shelter,1,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Oregon Av & Broad St SE,,Standard,PECO Wood Pole,
Orthodox St & Richmond St NW,488,Orthodox St & Richmond St NW,,Static Bus Shelter,6,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Orthodox St & Richmond St NW,,,,
Orthodox St & Richmond St NW - Conversion,488,Orthodox St & Richmond St NW,,Static Bus Shelter,6,Conversion D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Orthodox St & Richmond St NW - Conversion,,,,
Oxford Av & Summerdale Av NW,404,Oxford Av & Summerdale Av NW,,Static Bus Shelter,9,New Design & Install,Philly Bus Shelter - Static - FY5,Pending Placement Approval,Pending Placement Approval,Oxford Av & Summerdale Av NW,,,,no as built
Parkside Av & 42nd St SW,22219,Parkside Av & 42nd St SW,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Parkside Av & 42nd St SW,,,,
Passyunk Av & 10th St SE,16608,Passyunk Av & 10th St SE,,Static Bus Shelter,1,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Passyunk Av & 10th St SE,,,,
Pratt St & Horrocks St NW,23773,Pratt St & Horrocks St NW,,Static Bus Shelter,7,New Design & Install,Philly Bus Shelter - Static - FY5,Pending Placement Approval,Pending Placement Approval,Pratt St & Horrocks St NW,,,,no as built
Pratt St & Oxford Av NE,23596,Pratt St & Oxford Av NE,,Static Bus Shelter,7,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Pratt St & Oxford Av NE,,,,
Ridge Av & Fountain St - FS SW,12269,Ridge Av & Fountain St - FS SW,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Ridge Av & Fountain St - FS SW,,,,
