stop_id,stop_name,FALSE,TRUE,over_2,under_2,total,pct_over_2,stop_lat,stop_lon,ons,offs,Project.Planning
SEPTA18470,Stenton Av & Tulpehocken St,96,NA,0,96,96,0,40.058251,-75.163323,142.882146121852,28.19746430040548,NA
SEPTA18473,Stenton Av & Haines St,115,NA,0,115,115,0,40.055787,-75.15904,91.737142922437,54.91012321012322,NA
SEPTA18494,7th St & Wolf St,111,NA,0,111,111,0,39.920359,-75.158665,120.78656523215346,21.39041040658688,NA
SEPTA18495,7th St & Jackson St,116,NA,0,116,116,0,39.921599,-75.158413,104.26596002037178,30.176967150496566,NA
SEPTA18500,7th St & Tasker St,101,NA,0,101,101,0,39.928904,-75.156779,154.5910969749205,62.71994247582482,NA
SEPTA18510,7th St & South St,101,NA,0,101,101,0,39.942107,-75.15386,136.14938460232577,58.65875774552246,NA
SEPTA18531,7th St & Berks St,202,NA,0,202,202,0,39.980226,-75.146259,100.53343143784319,89.7029824750413,NA
SEPTA19011,Frankford Av & Orthodox St,140,NA,0,140,140,0,40.014855,-75.085512,104,48,NA
SEPTA19014,Kensington Av & K St,129,NA,0,129,129,0,40.000487,-75.106308,100.78687505305152,66.40217299040829,NA
SEPTA19062,Stenton Av & Washington Ln - FS,112,NA,0,112,112,0,40.059711,-75.165636,131.54376490672402,308.9691049520459,NA
SEPTA19064,Old York Rd & Grange Av - FS,306,NA,0,306,306,0,40.041724,-75.144337,82.50617985252241,45.072716358597674,NA
SEPTA19542,Walnut St & 24th St - MBFS,289,NA,0,289,289,0,39.951326,-75.179615,85.54482168158638,36.15704360998479,NA
SEPTA20476,Castor Av & Saint Vincent St,68,NA,0,68,68,0,40.049471,-75.067869,112.95479755538577,10.743424288130171,NA
SEPTA20516,Lehigh Av & 5th St,68,NA,0,68,68,0,39.992198,-75.140056,90.90246155903394,100.92183183217463,NA
SEPTA20587,City Av & Belmont Av - FS,153,NA,0,153,153,0,40.004111,-75.22019,149,118,NA
SEPTA20599,Allegheny Av & 5th St,102,NA,0,102,102,0,39.999798,-75.138371,102.1697026940106,259.18536532800164,NA
SEPTA20601,Allegheny Av & 26th St,189,NA,0,189,189,0,40.00404,-75.172376,177.2457549225998,133.17607712834666,NA
SEPTA20644,Market St & 22nd St - FS,228,NA,0,228,228,0,39.953899,-75.176453,102.75357966050692,103.92001389849688,NA
